DVEntry | 336 Gems (on the ground) | True_()
RLNorthWest2 | 30 Gems (headbash chest after pole spin glide) | HasAll('Double Jump', 'Glide', 'Pole Spin')
RLNorthWest2 | 40 Gems ([enemy] small robo-gnorcs that spawn after dark gem) | And(HasAll('Double Jump', 'Glide', 'Pole Spin'), HasAny('Electric Breath', 'Charge'))
RLSouthEast1 | 20 Gems ([enemy] armored middle robo-gnorc) | HasAny('Electric Breath', 'Ice Breath')
RLSouthEast1 | 20 Gems ([enemy] small robo-gnorc) | True_()
RLSouthEast1 | 75 Gems (baskets) | True_()
RLSouthEast1 | 105 Gems (baskets behind lasers/headbash chest) | Has('Double Jump')
RLSouthEast2 | 75 Gems (metal chests up high) | True_()
RLSouthEast2 | 20 Gems ([enemy] armored middle robo-gnorc up high) | Has('Charge')
RLSouthEast2 | 40 Gems ([enemy] huge robo-gnorcs up high) | True_()
RLSouthEast3 | 40 Gems ([enemy] armored middle robo-gnorc) | And(Has('Charge'), HasAny('Electric Breath', 'Ice Breath'))
RLSouthEast3 | 60 Gems ([enemy] small robo-gnorcs) | HasAny('Electric Breath', 'Charge')
RLSouthEast3 | 30 Gems (headbash chest) | Has('Double Jump')
RLSouthEast3 | 75 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
RLSouthEast3 | 50 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
RLSouthEast3 | 20 Gems ([enemy] huge robo-gnorc) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
RLSouthEast3 | 50 Gems (metal chests above boiler) | And(Has('Fire Breath'), HasAny('Double Jump', 'Charge', 'Electric Breath'))
RLSouthEast3 | 20 Gems ([enemy] small robo-gnorc above egg) | And(HasAll('Fire Breath', 'Double Jump', 'Glide', 'Pole Spin'), HasAny('Electric Breath', 'Charge'))
